cement,flyash,ggbs,mk,water,water_tcm,sp,vma,nca_20_down,nca_10_down,rca_20_down,rca_10_down,sand,age,cs
550.0,0.0,0.0,0.0,165.0,0.3,3.3,0.28,0.0,0.0,247.0,337.0,607.0,7.0,49.71
385.0,165.0,0.0,0.0,148.0,0.26,6.05,1.1,0.0,0.0,270.0,432.0,729.0,7.0,18.53
275.0,275.0,0.0,0.0,146.0,0.26,5.5,1.1,0.0,0.0,276.0,441.0,745.0,7.0,15.09
165.0,385.0,0.0,0.0,172.0,0.3,4.4,1.1,0.0,0.0,280.0,448.0,757.0,7.0,6.34
385.0,0.0,165.0,0.0,155.0,0.28,6.6,1.38,0.0,0.0,361.0,417.0,815.0,7.0,42.83
275.0,0.0,275.0,0.0,162.0,0.29,6.05,1.1,0.0,0.0,349.0,404.0,789.0,7.0,46.49
509.0,0.0,0.0,41.0,221.0,0.4,4.4,0.55,0.0,0.0,325.0,376.0,734.0,7.0,39.12
468.0,0.0,0.0,82.0,197.0,0.35,6.05,0.28,0.0,0.0,337.0,389.0,760.0,7.0,35.71
550.0,0.0,0.0,0.0,165.0,0.3,3.3,0.28,0.0,0.0,247.0,337.0,607.0,14.0,56.53
385.0,165.0,0.0,0.0,148.0,0.26,6.05,1.1,0.0,0.0,270.0,432.0,729.0,14.0,28.05
275.0,275.0,0.0,0.0,146.0,0.26,5.5,1.1,0.0,0.0,276.0,441.0,745.0,14.0,23.65
165.0,385.0,0.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,280.0,448.0,757.0,14.0,7.08
385.0,0.0,165.0,0.0,155.0,0.28,6.6,1.38,0.0,0.0,361.0,417.0,815.0,14.0,55.49
275.0,0.0,275.0,0.0,162.0,0.29,6.05,1.1,0.0,0.0,349.0,404.0,789.0,14.0,52.53
509.0,0.0,0.0,41.0,221.0,0.4,4.4,0.55,0.0,0.0,325.0,376.0,734.0,14.0,42.5
468.0,0.0,0.0,82.0,197.0,0.35,6.05,0.28,0.0,0.0,337.0,389.0,760.0,14.0,42.81
550.0,0.0,0.0,0.0,165.0,0.3,3.3,0.28,0.0,0.0,247.0,337.0,607.0,28.0,59.43
385.0,165.0,0.0,0.0,148.0,0.26,6.05,1.1,0.0,0.0,270.0,432.0,729.0,28.0,35.5
275.0,275.0,0.0,0.0,146.0,0.26,5.5,1.1,0.0,0.0,276.0,441.0,745.0,28.0,46.48
165.0,385.0,0.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,280.0,448.0,757.0,28.0,14.11
385.0,0.0,165.0,0.0,155.0,0.28,6.6,1.38,0.0,0.0,361.0,417.0,815.0,28.0,61.11
275.0,0.0,275.0,0.0,162.0,0.29,6.05,1.1,0.0,0.0,349.0,404.0,789.0,28.0,59.0
509.0,0.0,0.0,41.0,221.0,0.4,4.4,0.55,0.0,0.0,325.0,376.0,734.0,28.0,43.0
468.0,0.0,0.0,82.0,197.0,0.35,6.05,0.28,0.0,0.0,337.0,389.0,760.0,28.0,70.92
550.0,0.0,0.0,0.0,165.0,0.3,3.3,0.28,0.0,0.0,247.0,337.0,607.0,56.0,63.05
385.0,165.0,0.0,0.0,148.0,0.26,6.05,1.1,0.0,0.0,270.0,432.0,729.0,56.0,50.55
275.0,275.0,0.0,0.0,146.0,0.26,5.5,1.1,0.0,0.0,276.0,441.0,745.0,56.0,55.28
165.0,385.0,0.0,0.0,172.0,0.31,4.4,1.1,0.0,0.0,280.0,448.0,757.0,56.0,21.83
385.0,0.0,165.0,0.0,155.0,0.28,6.6,1.38,0.0,0.0,361.0,417.0,815.0,56.0,64.68
275.0,0.0,275.0,0.0,162.0,0.29,6.05,1.1,0.0,0.0,349.0,404.0,789.0,56.0,61.14
509.0,0.0,0.0,41.0,221.0,0.4,4.4,0.55,0.0,0.0,325.0,376.0,734.0,56.0,50.33
468.0,0.0,0.0,82.0,197.0,0.35,6.05,0.28,0.0,0.0,337.0,389.0,760.0,56.0,73.76
378.0,0.0,0.0,0.0,170.0,0.45,0.56,0.0,565.0,559.0,0.0,0.0,726.0,3.0,15.0
309.0,0.0,0.0,0.0,170.0,0.55,0.0,0.0,583.0,576.0,0.0,0.0,749.0,3.0,14.0
262.0,0.0,0.0,0.0,170.0,0.65,0.0,0.0,595.0,589.0,0.0,0.0,764.0,3.0,10.0
227.0,0.0,0.0,0.0,170.0,0.75,0.0,0.0,604.0,598.0,0.0,0.0,776.0,3.0,8.0
